incident_id,species_code,lat,lon,year,month,vessel_type,speed_knots,outcome,source,notes
OBIS_06ac44fb-632a-406f-8539-4d2ec1cd9908,HUMPBACK,41.67881,-69.64477,2009,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2009
OBIS_06af40f8-3f93-46e9-92cb-27211ef3e122,HUMPBACK,42.24904,-67.75044,2010,9,,,unknown,OBIS_MachineObservation,USGS Patuxent Wildlife Research Center Seabirds Database
OBIS_06b0c6b8-5b29-45a4-a679-b478041349fb,HUMPBACK,41.5873,-68.9739,2018,3,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2018
OBIS_06b4dc1e-76cc-4727-a0c3-6b96167ca76a,HUMPBACK,42.741072,-70.609131,2024,10,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06b86a8a-ddbf-4c4a-a28c-886619df93da,HUMPBACK,42.19878,-66.54143,2002,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2002
OBIS_06b95a7d-32e1-4de6-9116-28fbd9852e5a,HUMPBACK,40.02627,-71.01719,2023,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2023
OBIS_06be247a-b4d4-4ad8-9380-b6c3236365d8,HUMPBACK,40.75988,-69.94421,2020,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06be6713-5b71-424d-8a27-69de90ea641f,HUMPBACK,42.3601,-65.7896,2008,10,,,unknown,OBIS_MachineObservation,EC-CWS Eastern Canada Seabirds at Sea
OBIS_06c11bed-a117-4c34-b764-58279ef73fb7,HUMPBACK,41.63842,-69.52734,2023,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06c29700-06ae-47f3-a5dc-c6bf52193088,HUMPBACK,41.020793,-71.941217,2020,9,,,unknown,OBIS_MachineObservation,CRESLI marine mammal observations from whale watch cruises 2020
OBIS_06c3de4b-5552-4d8d-9c63-28c218870239,HUMPBACK,41.58817,-69.57959,2005,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2005
OBIS_06c551a5-adce-4b67-bcfc-792eea3e3872,HUMPBACK,41.62774,-69.62725,2009,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06c683ec-aca7-46bb-9e5b-da40cda5049d,HUMPBACK,42.16,-70.25,2023,8,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06c7a77f-89c8-4dc9-bd98-ec575d7a889c,HUMPBACK,40.43194,-70.76526,2021,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06cc72ed-40c0-4148-a939-ad4d321638af,HUMPBACK,44.5765,-66.535,2024,6,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06cd8398-46e7-4467-aef8-dcc32b6afb3a,HUMPBACK,40.37831,-71.39184,2021,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06d69466-df95-4043-80fb-2d158f698290,HUMPBACK,42.222892,-70.445709,2019,7,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06db0aa8-df5a-431a-bfdc-0c3e9d31b479,HUMPBACK,40.3002,-70.85017,2024,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06df9203-a554-4a41-bf7e-f359da6f24e1,HUMPBACK,44.544314,-63.370091,2007,6,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06e6b293-d3a7-4fa5-9364-9aadbb6d753e,HUMPBACK,42.31014,-69.35405,2010,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06eb3f43-2f18-4521-9ebe-5c436670ca32,HUMPBACK,41.55622,-69.66812,2022,10,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2022
OBIS_06ed1957-2528-4a6a-b4cd-ed120071a519,HUMPBACK,42.12767,-69.6145,2003,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2003
OBIS_06f44578-fff1-4446-83b4-f7da3d4c9668,HUMPBACK,41.64449,-69.46725,2012,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2012
OBIS_06f6f7b9-325e-4ef6-aab7-fe7f46a986fc,HUMPBACK,40.53032,-68.36687,2023,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_06f80e48-7a13-4845-8db6-72ea2b5c7431,HUMPBACK,44.561026,-66.607292,2021,7,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_06f9063e-5ae7-4ef6-937d-d05ba170c47b,HUMPBACK,40.87073,-71.92898,2024,8,,,unknown,OBIS_MachineObservation,CRESLI marine mammal observations from whale watch cruises 2024
OBIS_06fea9a6-3e70-4590-8d0c-fcd7e1225d6b,HUMPBACK,42.76832,-69.31184,2012,12,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2012
OBIS_0700aae1-3fdd-4811-851b-1f3fd8fd7698,HUMPBACK,42.23468,-68.27709,2011,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_07083a73-8941-460e-82f5-fdfc0e620cca,HUMPBACK,40.992402,-72.008243,2021,7,,,unknown,OBIS_MachineObservation,CRESLI marine mammal observations from whale watch cruises 2021
OBIS_0708f3c9-1144-4762-9caa-72708c3e06f5,HUMPBACK,40.92101,-69.69972,2020,9,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_070a5611-2342-4bb8-8a30-4eda420fb19c,HUMPBACK,41.01622,-71.40402,2011,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_070e4643-d0aa-4423-9418-1c2e766b4e1e,HUMPBACK,42.16302,-69.82632,2014,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2014
OBIS_07160d4a-cf66-41aa-b635-2b08bd8f8779,HUMPBACK,41.4858,-69.3481,2018,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2018
OBIS_0717e555-9770-4d9c-a31a-1edac315df55,HUMPBACK,42.27105,-70.33674,2022,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2022
OBIS_071e7d4c-7b72-450f-be75-a79c25f2170d,HUMPBACK,44.941405,-66.85112,2024,8,,,unknown,OBIS_MachineObservation,Happywhale - Humpback whale in North Atlantic Ocean
OBIS_0721d1a0-e421-40b1-bf6b-87f5646f56c3,HUMPBACK,41.55798,-69.38309,2016,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2016
OBIS_0722ac97-8442-467b-94ac-bbfb54a8f361,HUMPBACK,41.21839,-69.20812,2014,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_0724ffc9-d159-44db-870b-2f21ba0ef9f4,HUMPBACK,41.66626,-69.64166,2007,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_0725fb00-56f5-4df9-9425-52554736bb56,HUMPBACK,41.54763,-68.52799,2002,6,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2002
OBIS_0726ad13-dcd7-401f-8c42-b76f939ef925,HUMPBACK,43.10533,-70.11017,2001,4,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
OBIS_07297f79-6ca6-49dc-a6c5-878394cef75d,HUMPBACK,41.45574,-69.40004,2003,7,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey in 2003
OBIS_072b4b10-8b3a-45f4-8940-9c16edbb44a2,HUMPBACK,42.51297,-70.18913,2003,5,,,unknown,OBIS_MachineObservation,NEFSC Right Whale Aerial Survey
